ZCTA,Median_Household_Income
10001,182117.0
10002,51093.0
10003,250000.0
10004,250000.0
10005,250000.0
10006,250000.0
10007,250000.0
10009,88469.0
10010,224893.0
10011,235848.0
10012,210813.0
10013,209681.0
10014,250000.0
10016,250000.0
10017,240125.0
10018,220391.0
10019,178940.0
10020,
10021,250000.0
10022,250000.0
10023,250000.0
10024,250000.0
10025,157394.0
10026,103169.0
10027,83204.0
10028,250000.0
10029,43324.0
10030,54711.0
10031,67889.0
10032,61633.0
10033,94017.0
10034,90523.0
10035,46813.0
10036,135122.0
10037,75606.0
10038,118984.0
10039,43798.0
10040,76442.0
10044,137901.0
10065,250000.0
10069,250000.0
10075,248851.0
10103,
10110,
10111,
10112,
10115,
10119,
10128,225389.0
10152,
10153,
10154,
10162,
10165,
10167,
10168,
10169,
10170,
10171,
10172,
10173,
10174,
10177,
10199,
10271,
10278,
10279,250000.0
10280,250000.0
10282,250000.0
10301,96775.0
10302,93804.0
10303,99575.0
10304,91624.0
10305,102885.0
10306,114487.0
10307,145521.0
10308,137220.0
10309,143908.0
10310,124290.0
10311,
10312,128279.0
10314,123776.0
10451,45032.0
10452,46432.0
10453,47928.0
10454,38750.0
10455,43236.0
10456,44382.0
10457,52529.0
10458,49122.0
10459,48639.0
10460,44510.0
10461,83326.0
10462,70874.0
10463,84178.0
10464,107500.0
10465,109012.0
10466,82585.0
10467,59672.0
10468,51973.0
10469,90745.0
10470,108668.0
10471,128971.0
10472,47394.0
10473,65656.0
10474,47625.0
10475,72500.0
10501,250000.0
10502,250000.0
10503,250000.0
10504,250000.0
10505,197311.0
10506,250000.0
10507,150594.0
10509,143750.0
10510,250000.0
10511,145652.0
10512,143448.0
10514,250000.0
10516,164397.0
10517,111553.0
10518,250000.0
10519,
10520,201360.0
10522,193095.0
10523,121450.0
10524,153125.0
10526,250000.0
10527,219698.0
10528,173380.0
10530,154413.0
10532,161154.0
10533,231563.0
10535,
10536,250000.0
10537,126542.0
10538,250000.0
10540,
10541,147129.0
10542,
10543,166204.0
10545,
10546,231250.0
10547,190056.0
10548,152337.0
10549,162500.0
10550,86705.0
10552,133542.0
10553,109732.0
10560,215625.0
10562,126215.0
10566,112734.0
10567,166457.0
10570,239955.0
10573,119167.0
10576,250000.0
10577,250000.0
10578,250000.0
10579,162620.0
10580,250000.0
10583,250000.0
10588,208503.0
10589,176649.0
10590,223339.0
10591,143451.0
10594,205000.0
10595,171875.0
10596,
10597,250000.0
10598,186101.0
10601,114250.0
10603,147609.0
10604,117816.0
10605,215417.0
10606,124033.0
10607,196397.0
10701,70877.0
10703,94160.0
10704,119375.0
10705,78901.0
10706,227303.0
10707,177977.0
10708,173724.0
10709,224756.0
10710,135982.0
10801,120833.0
10803,234563.0
10804,250000.0
10805,115385.0
10901,139635.0
10910,
10911,
10913,194615.0
10914,88158.0
10915,
10916,124500.0
10917,127255.0
10918,168383.0
10919,106558.0
10920,154450.0
10921,112721.0
10922,219174.0
10923,121304.0
10924,136429.0
10925,104455.0
10926,109625.0
10927,73900.0
10928,108578.0
10930,158093.0
10931,96964.0
10932,
10933,
10940,106239.0
10941,110156.0
10950,77852.0
10952,75701.0
10953,
10954,133819.0
10956,191590.0
10958,193340.0
10960,157500.0
10962,198077.0
10963,106597.0
10964,189861.0
10965,155813.0
10968,203523.0
10969,160208.0
10970,136006.0
10973,139145.0
10974,141607.0
10975,71142.0
10976,175650.0
10977,80575.0
10979,
10980,149608.0
10983,195365.0
10984,122266.0
10985,
10986,208864.0
10987,212898.0
10988,112788.0
10989,170223.0
10990,148795.0
10992,135532.0
10993,117500.0
10994,204647.0
10996,144500.0
10998,124063.0
11001,162459.0
11003,135509.0
11004,121653.0
11005,154250.0
11010,149991.0
11020,180221.0
11021,164920.0
11023,191125.0
11024,171477.0
11030,250000.0
11040,172617.0
11042,
11050,193406.0
11096,100469.0
11101,135304.0
11102,115290.0
11103,105877.0
11104,105093.0
11105,111418.0
11106,95091.0
11109,227614.0
11201,244063.0
11203,84167.0
11204,71338.0
11205,90685.0
11206,47936.0
11207,67634.0
11208,67049.0
11209,117731.0
11210,102857.0
11211,82826.0
11212,47405.0
11213,71219.0
11214,75628.0
11215,223697.0
11216,106618.0
11217,201918.0
11218,113540.0
11219,57346.0
11220,61954.0
11221,86200.0
11222,148503.0
11223,82626.0
11224,57684.0
11225,94713.0
11226,93381.0
11228,92648.0
11229,92582.0
11230,84424.0
11231,164435.0
11232,80682.0
11233,76642.0
11234,111881.0
11235,82520.0
11236,93846.0
11237,66514.0
11238,177149.0
11239,54308.0
11249,107857.0
11354,67399.0
11355,56852.0
11356,102908.0
11357,120081.0
11358,97586.0
11359,
11360,147560.0
11361,122245.0
11362,147857.0
11363,138958.0
11364,114942.0
11365,94551.0
11366,133779.0
11367,101823.0
11368,70817.0
11369,83071.0
11370,97452.0
11371,
11372,79371.0
11373,73926.0
11374,109240.0
11375,135095.0
11377,82230.0
11378,99144.0
11379,109291.0
11385,89695.0
11411,127381.0
11412,109733.0
11413,120709.0
11414,123873.0
11415,109005.0
11416,90177.0
11417,98328.0
11418,95817.0
11419,95269.0
11420,102659.0
11421,92969.0
11422,114828.0
11423,87366.0
11424,
11426,126597.0
11427,114282.0
11428,101012.0
11429,117695.0
11430,
11432,81460.0
11433,83201.0
11434,98089.0
11435,86543.0
11436,97398.0
11439,
11451,
11501,165701.0
11507,165778.0
11509,176250.0
11510,161144.0
11514,162565.0
11516,134904.0
11518,120920.0
11520,136509.0
11530,250000.0
11542,115270.0
11545,199600.0
11547,144438.0
11548,155536.0
11549,
11550,98873.0
11552,164083.0
11553,114922.0
11554,151667.0
11556,
11557,172007.0
11558,123830.0
11559,174546.0
11560,216667.0
11561,163072.0
11563,155461.0
11565,164265.0
11566,189709.0
11568,250000.0
11569,161220.0
11570,203309.0
11572,163846.0
11575,119015.0
11576,250000.0
11577,203326.0
11579,233125.0
11580,155239.0
11581,150398.0
11590,166080.0
11596,177399.0
11598,200112.0
11691,80367.0
11692,69754.0
11693,87813.0
11694,128512.0
11697,175708.0
11701,123698.0
11702,179570.0
11703,139346.0
11704,140783.0
11705,169135.0
11706,131009.0
11709,207212.0
11710,187933.0
11713,117285.0
11714,144250.0
11715,181657.0
11716,147025.0
11718,209318.0
11719,134063.0
11720,140692.0
11721,227383.0
11722,115302.0
11724,250000.0
11725,184683.0
11726,123889.0
11727,124980.0
11729,155598.0
11730,175071.0
11731,176341.0
11732,178258.0
11733,198708.0
11735,170495.0
11738,147057.0
11739,184600.0
11740,204646.0
11741,147841.0
11742,146868.0
11743,200760.0
11746,183482.0
11747,194724.0
11749,111647.0
11751,153303.0
11752,150594.0
11753,206417.0
11754,167354.0
11755,146429.0
11756,148924.0
11757,137377.0
11758,184379.0
11762,180702.0
11763,130425.0
11764,186875.0
11765,250000.0
11766,179018.0
11767,161384.0
11768,186273.0
11769,171607.0
11770,121875.0
11771,213179.0
11772,124322.0
11776,137049.0
11777,198831.0
11778,134531.0
11779,135296.0
11780,183373.0
11782,166988.0
11783,180822.0
11784,123789.0
11786,174063.0
11787,165292.0
11788,178250.0
11789,152841.0
11790,186250.0
11791,232593.0
11792,171270.0
11793,186205.0
11794,
11795,183878.0
11796,173735.0
11797,243588.0
11801,156822.0
11803,218657.0
11804,187303.0
11901,100752.0
11930,118676.0
11931,
11932,250000.0
11933,118176.0
11934,159231.0
11935,147358.0
11937,158527.0
11939,165391.0
11940,158958.0
11941,135804.0
11942,150053.0
11944,122112.0
11946,150278.0
11947,
11948,208950.0
11949,157974.0
11950,112216.0
11951,110188.0
11952,135452.0
11953,107112.0
11954,166149.0
11955,109773.0
11956,132500.0
11957,89146.0
11958,
11959,171250.0
11960,233281.0
11961,119583.0
11962,
11963,140154.0
11964,149183.0
11965,248933.0
11967,113778.0
11968,211307.0
11970,
11971,172642.0
11972,
11973,
11975,250000.0
11976,250000.0
11977,168602.0
11978,123590.0
11980,141250.0
12007,
12008,141688.0
12009,132033.0
12010,83222.0
12015,113235.0
12017,172750.0
12018,154025.0
12019,142446.0
12020,123530.0
12022,113472.0
12023,116667.0
12024,204141.0
12025,95263.0
12027,120286.0
12028,82969.0
12029,119688.0
12031,84028.0
12032,74125.0
12033,116964.0
12035,98750.0
12036,92614.0
12037,110288.0
12040,
12041,118381.0
12042,195625.0
12043,95345.0
12045,
12046,117917.0
12047,92582.0
12051,107554.0
12052,120978.0
12053,140145.0
12054,155422.0
12056,136020.0
12057,93950.0
12058,110688.0
12059,101813.0
12060,134286.0
12061,145200.0
12062,98125.0
12063,87955.0
12064,109500.0
12065,141068.0
12066,89135.0
12067,145069.0
12068,94559.0
12069,250000.0
12070,103750.0
12071,92813.0
12072,98234.0
12074,108056.0
12075,96667.0
12076,86818.0
12077,169554.0
12078,59396.0
12082,
12083,96563.0
12084,107422.0
12085,
12086,87981.0
12087,89219.0
12090,94464.0
12092,79949.0
12093,70625.0
12094,119931.0
12095,88831.0
12106,119063.0
12108,95500.0
12110,126463.0
12115,
12116,72708.0
12117,82500.0
12118,125989.0
12120,139500.0
12121,107295.0
12122,70441.0
12123,128571.0
12124,
12125,86071.0
12130,130185.0
12131,95625.0
12132,
12134,79280.0
12136,156902.0
12137,119917.0
12138,97083.0
12139,104219.0
12140,130694.0
12143,109000.0
12144,113032.0
12147,106438.0
12148,203947.0
12149,71800.0
12150,88649.0
12151,108750.0
12153,67738.0
12154,118558.0
12155,72292.0
12156,97037.0
12157,92841.0
12158,116674.0
12159,166821.0
12160,78250.0
12161,
12164,79375.0
12165,
12166,95917.0
12167,76429.0
12168,103750.0
12169,130284.0
12170,103012.0
12172,62000.0
12173,92500.0
12174,
12175,88636.0
12176,83750.0
12177,156382.0
12180,97835.0
12182,71766.0
12183,90530.0
12184,117887.0
12185,153173.0
12186,133348.0
12187,117500.0
12188,122924.0
12189,86136.0
12190,68750.0
12192,103009.0
12193,125583.0
12194,88750.0
12195,
12196,138423.0
12197,86910.0
12198,138500.0
12202,64784.0
12203,124119.0
12204,83904.0
12205,113423.0
12206,51086.0
12207,
12208,107233.0
12209,93270.0
12210,59149.0
12211,167391.0
12222,
12226,
12302,120158.0
12303,104393.0
12304,78193.0
12305,82917.0
12306,95586.0
12307,42188.0
12308,74066.0
12309,144441.0
12401,85160.0
12404,97222.0
12405,
12406,67446.0
12407,91250.0
12409,135893.0
12410,
12411,99583.0
12412,78293.0
12413,87094.0
12414,81798.0
12416,
12417,121042.0
12418,106912.0
12419,119055.0
12420,59739.0
12421,97946.0
12422,80625.0
12423,82008.0
12424,122750.0
12427,97404.0
12428,94302.0
12429,
12430,94792.0
12431,94185.0
12432,
12433,
12434,94250.0
12435,84896.0
12436,106797.0
12438,49000.0
12439,96250.0
12440,111765.0
12441,
12442,70441.0
12443,137553.0
12444,97917.0
12446,92404.0
12448,212404.0
12449,110950.0
12450,
12451,57228.0
12452,
12453,
12454,117800.0
12455,83702.0
12456,94972.0
12457,107083.0
12458,77917.0
12459,
12460,165341.0
12461,147321.0
12463,
12464,128875.0
12465,
12466,106250.0
12468,91711.0
12469,77132.0
12470,135833.0
12471,
12472,108015.0
12473,100250.0
12474,71591.0
12475,105278.0
12477,100500.0
12480,
12481,146389.0
12482,108605.0
12483,
12484,123520.0
12485,108417.0
12486,127875.0
12487,131418.0
12489,
12490,
12491,109034.0
12492,117344.0
12493,
12494,140954.0
12495,156375.0
12496,80385.0
12498,111111.0
12501,95901.0
12502,94250.0
12503,116563.0
12504,
12507,114612.0
12508,115924.0
12512,
12513,
12514,152578.0
12515,158087.0
12516,158194.0
12517,152667.0
12518,122375.0
12520,152109.0
12521,74512.0
12522,89257.0
12523,80809.0
12524,121686.0
12525,133594.0
12526,96659.0
12527,
12528,125316.0
12529,98542.0
12530,
12531,183036.0
12533,146425.0
12534,88860.0
12538,103942.0
12540,119530.0
12542,142981.0
12543,115043.0
12544,
12545,126886.0
12546,132125.0
12547,139028.0
12548,128365.0
12549,151219.0
12550,93521.0
12553,115700.0
12561,132071.0
12563,110875.0
12564,141375.0
12565,63571.0
12566,122067.0
12567,106875.0
12569,126136.0
12570,150625.0
12571,126602.0
12572,135329.0
12574,135513.0
12575,147550.0
12577,167922.0
12578,116563.0
12580,155000.0
12581,128750.0
12582,133444.0
12583,112599.0
12585,160938.0
12586,114631.0
12589,131384.0
12590,123592.0
12592,82813.0
12594,157721.0
12601,86779.0
12603,127473.0
12604,
12701,74318.0
12719,93125.0
12720,
12721,108875.0
12722,
12723,108125.0
12724,
12725,89286.0
12726,94833.0
12729,96625.0
12732,61027.0
12733,53250.0
12734,133333.0
12736,
12737,115741.0
12738,72354.0
12740,90543.0
12741,66250.0
12742,
12743,199250.0
12745,
12746,69750.0
12747,74549.0
12748,130489.0
12749,171935.0
12750,
12751,52174.0
12752,
12754,62013.0
12758,96250.0
12759,45893.0
12760,122614.0
12762,112879.0
12763,71964.0
12764,92917.0
12765,118063.0
12766,
12767,150000.0
12768,49663.0
12769,51000.0
12770,151071.0
12771,92083.0
12775,161818.0
12776,96688.0
12777,203125.0
12778,95694.0
12779,75489.0
12780,81761.0
12781,
12783,109241.0
12784,
12785,124911.0
12786,127188.0
12787,
12788,100875.0
12789,77273.0
12790,101858.0
12791,
12792,250000.0
12801,85818.0
12803,91839.0
12804,116875.0
12808,136250.0
12809,81897.0
12810,80417.0
12811,56458.0
12812,151875.0
12814,116094.0
12815,89107.0
12816,94189.0
12817,94181.0
12819,93636.0
12820,
12821,32083.0
12822,90250.0
12823,116172.0
12824,131154.0
12827,88173.0
12828,101027.0
12831,124769.0
12832,82578.0
12833,109234.0
12834,97250.0
12835,105208.0
12836,78942.0
12837,72159.0
12838,65685.0
12839,84355.0
12841,113125.0
12842,108516.0
12843,70393.0
12844,250000.0
12845,117298.0
12846,83869.0
12847,101250.0
12849,
12850,96713.0
12851,73125.0
12852,118750.0
12853,94688.0
12854,
12855,72917.0
12856,
12857,85179.0
12858,120625.0
12859,70000.0
12860,96875.0
12861,85536.0
12862,62969.0
12863,128173.0
12864,
12865,80083.0
12866,139550.0
12870,72500.0
12871,110511.0
12872,
12873,75938.0
12874,160441.0
12878,72188.0
12883,68894.0
12884,62344.0
12885,93203.0
12886,122938.0
12887,72390.0
12901,83696.0
12903,106597.0
12910,78036.0
12911,
12912,95833.0
12913,106250.0
12914,54886.0
12915,
12916,75316.0
12917,77500.0
12918,107500.0
12919,87308.0
12920,85223.0
12921,131087.0
12922,87000.0
12923,63594.0
12924,
12926,66154.0
12927,
12928,96979.0
12929,72031.0
12930,81094.0
12932,78750.0
12933,
12934,76417.0
12935,65750.0
12936,78194.0
12937,68947.0
12939,
12941,95458.0
12942,126667.0
12943,86518.0
12944,91875.0
12945,88284.0
12946,103679.0
12950,79773.0
12952,52045.0
12953,77083.0
12955,78688.0
12956,69719.0
12957,75133.0
12958,88125.0
12959,99390.0
12960,62223.0
12961,
12962,93167.0
12964,122813.0
12965,56250.0
12966,78490.0
12967,93409.0
12969,62708.0
12970,96250.0
12972,121719.0
12973,55625.0
12974,55625.0
12975,127000.0
12976,101563.0
12977,
12978,97470.0
12979,77064.0
12980,74306.0
12981,85636.0
12983,84797.0
12985,74318.0
12986,85438.0
12987,122000.0
12989,80833.0
12992,82083.0
12993,101250.0
12996,105750.0
12997,97917.0
12998,80192.0
13020,90441.0
13021,80858.0
13024,
13026,109559.0
13027,108651.0
13028,105386.0
13029,118507.0
13030,86111.0
13031,121131.0
13032,88835.0
13033,90000.0
13034,116467.0
13035,131086.0
13036,102461.0
13037,99052.0
13039,125993.0
13040,75385.0
13041,119487.0
13042,121250.0
13044,101824.0
13045,88265.0
13051,
13052,98021.0
13053,95139.0
13054,109500.0
13057,100702.0
13060,72813.0
13061,102708.0
13062,
13063,108438.0
13065,
13066,148363.0
13068,97222.0
13069,71405.0
13071,82019.0
13072,47460.0
13073,90694.0
13074,83625.0
13076,71774.0
13077,79199.0
13078,124145.0
13080,83333.0
13081,100063.0
13082,107784.0
13083,71705.0
13084,88750.0
13087,194167.0
13088,92822.0
13090,107444.0
13092,66985.0
13101,65982.0
13102,
13103,66354.0
13104,159961.0
13108,108922.0
13110,107368.0
13111,69167.0
13112,90679.0
13113,
13114,87279.0
13115,71406.0
13116,103450.0
13117,44125.0
13118,88333.0
13119,
13120,72083.0
13121,
13122,100701.0
13123,
13124,110417.0
13126,86353.0
13131,84239.0
13132,78226.0
13134,
13135,90781.0
13136,57500.0
13138,47434.0
13140,82917.0
13141,102857.0
13142,95463.0
13143,81917.0
13144,74861.0
13145,72043.0
13146,72083.0
13147,79688.0
13148,88992.0
13152,136023.0
13153,148585.0
13154,
13155,75938.0
13156,77660.0
13157,125227.0
13158,100069.0
13159,121830.0
13160,109583.0
13162,
13163,88125.0
13164,108559.0
13165,77122.0
13166,95811.0
13167,91000.0
13202,16931.0
13203,65815.0
13204,41478.0
13205,55978.0
13206,76842.0
13207,73067.0
13208,49990.0
13209,78856.0
13210,57951.0
13211,75755.0
13212,93804.0
13214,122092.0
13215,138577.0
13219,103449.0
13224,115833.0
13244,
13290,
13301,136250.0
13302,57009.0
13303,77115.0
13304,126620.0
13305,
13308,88033.0
13309,93068.0
13310,118750.0
13312,86172.0
13313,37292.0
13314,36750.0
13315,93833.0
13316,92426.0
13317,91700.0
13318,84000.0
13319,73792.0
13320,92083.0
13321,54073.0
13322,97583.0
13323,120938.0
13324,97656.0
13325,72813.0
13326,107841.0
13327,77000.0
13328,117935.0
13329,77500.0
13331,67813.0
13332,86875.0
13333,96250.0
13334,63750.0
13335,70208.0
13337,113527.0
13338,97813.0
13339,68333.0
13340,97404.0
13342,81818.0
13343,71957.0
13345,78750.0
13346,101167.0
13348,79409.0
13350,93827.0
13352,
13353,105536.0
13354,91570.0
13355,
13357,76781.0
13360,118750.0
13361,106406.0
13363,96568.0
13364,78059.0
13365,86321.0
13367,81339.0
13368,66000.0
13402,73750.0
13403,108514.0
13404,78750.0
13406,88611.0
13407,88445.0
13408,95938.0
13409,76563.0
13410,77250.0
13411,72159.0
13413,121513.0
13415,132917.0
13416,89375.0
13417,76696.0
13418,153239.0
13420,109054.0
13421,95000.0
13424,129659.0
13425,95921.0
13428,96971.0
13431,95694.0
13433,55278.0
13435,64886.0
13436,99063.0
13437,55833.0
13438,85288.0
13439,75133.0
13440,88070.0
13441,
13450,75893.0
13452,81161.0
13454,120352.0
13455,
13456,107069.0
13457,72917.0
13459,66776.0
13460,70139.0
13461,105964.0
13464,56627.0
13468,62500.0
13469,152386.0
13470,70313.0
13471,72500.0
13472,88092.0
13473,71500.0
13475,80208.0
13476,105110.0
13477,84583.0
13478,96163.0
13480,93470.0
13482,56818.0
13483,113205.0
13484,
13485,70000.0
13486,103173.0
13488,66667.0
13489,89375.0
13490,98345.0
13491,88958.0
13492,102889.0
13493,82563.0
13494,98438.0
13495,64766.0
13501,60182.0
13502,72083.0
13601,76190.0
13602,
13603,73091.0
13605,94357.0
13606,100781.0
13607,100769.0
13608,89000.0
13611,47353.0
13612,83750.0
13613,73750.0
13614,
13615,104063.0
13616,59444.0
13617,96171.0
13618,99489.0
13619,78953.0
13620,74688.0
13621,66122.0
13622,90625.0
13623,
13624,99861.0
13625,85455.0
13626,79063.0
13628,68750.0
13630,66500.0
13632,
13633,63333.0
13634,111607.0
13635,74792.0
13636,68750.0
13637,63948.0
13638,
13639,
13640,95250.0
13641,75875.0
13642,60875.0
13643,
13645,
13646,78227.0
13647,
13648,69265.0
13649,
13650,99583.0
13651,118125.0
13652,67065.0
13654,80250.0
13655,69896.0
13656,67727.0
13658,96510.0
13659,65625.0
13660,91630.0
13661,96063.0
13662,81140.0
13664,74167.0
13665,93214.0
13666,
13667,70781.0
13668,92667.0
13669,86455.0
13670,54167.0
13672,84286.0
13673,80799.0
13674,
13675,
13676,97222.0
13678,
13679,103098.0
13680,88860.0
13681,52917.0
13682,95795.0
13683,
13684,61324.0
13685,105319.0
13687,43036.0
13690,80000.0
13691,86673.0
13692,225357.0
13693,51625.0
13694,88750.0
13695,122083.0
13696,
13697,95764.0
13699,
13730,77629.0
13731,111917.0
13732,115195.0
13733,79531.0
13734,80588.0
13736,70250.0
13738,
13739,81250.0
13740,96786.0
13743,83587.0
13744,88400.0
13746,75156.0
13747,
13748,78384.0
13750,64231.0
13751,154375.0
13752,140069.0
13753,81094.0
13754,75474.0
13755,49489.0
13756,77083.0
13757,85197.0
13760,86833.0
13774,68361.0
13775,109318.0
13776,81250.0
13777,71500.0
13778,90925.0
13780,77083.0
13782,74583.0
13783,82045.0
13784,73597.0
13786,51250.0
13787,84018.0
13788,101094.0
13790,76025.0
13795,76089.0
13796,111458.0
13797,72885.0
13801,94583.0
13802,70455.0
13803,72317.0
13804,42303.0
13806,119219.0
13807,100843.0
13808,98393.0
13809,72279.0
13810,103224.0
13811,96742.0
13812,85057.0
13813,88750.0
13814,
13815,83140.0
13820,80160.0
13825,102750.0
13826,
13827,83912.0
13830,69583.0
13832,58214.0
13833,70893.0
13834,
13835,97031.0
13838,74868.0
13839,59583.0
13841,71250.0
13842,123580.0
13843,82500.0
13844,66346.0
13846,32143.0
13847,
13849,78289.0
13850,107963.0
13856,71719.0
13859,68636.0
13860,157610.0
13861,
13862,77813.0
13863,90000.0
13864,64545.0
13865,84931.0
13901,83107.0
13902,
13903,83898.0
13904,66182.0
13905,85676.0
14001,95152.0
14004,103495.0
14005,102873.0
14006,77575.0
14008,81875.0
14009,92355.0
14011,97336.0
14012,77500.0
14013,79868.0
14020,85755.0
14024,93750.0
14025,122619.0
14026,100341.0
14027,
14028,113516.0
14029,175625.0
14030,94205.0
14031,154048.0
14032,169566.0
14033,93462.0
14034,81932.0
14035,97000.0
14036,105253.0
14037,101406.0
14039,99250.0
14040,87188.0
14041,98365.0
14042,66979.0
14043,88472.0
14047,90244.0
14048,66875.0
14051,155890.0
14052,124203.0
14054,93264.0
14055,96890.0
14056,
14057,96696.0
14058,107824.0
14059,119342.0
14060,78947.0
14061,
14062,80517.0
14063,92813.0
14065,73571.0
14066,74844.0
14067,99191.0
14068,148214.0
14069,101071.0
14070,64762.0
14072,123832.0
14075,114481.0
14080,102602.0
14081,66103.0
14082,71042.0
14083,
14085,136741.0
14086,116506.0
14091,66875.0
14092,102159.0
14094,96276.0
14098,70833.0
14101,71800.0
14102,125833.0
14103,83290.0
14105,92958.0
14108,101050.0
14109,
14111,105968.0
14112,
14113,101949.0
14120,97417.0
14125,76300.0
14126,149567.0
14127,148222.0
14129,81875.0
14130,69167.0
14131,107083.0
14132,112058.0
14134,
14135,
14136,81154.0
14138,61685.0
14139,86563.0
14141,103000.0
14143,103333.0
14145,97500.0
14150,95008.0
14166,96616.0
14167,85474.0
14168,
14169,
14170,115000.0
14171,69764.0
14172,94375.0
14173,
14174,96400.0
14201,30565.0
14202,
14203,
14204,46250.0
14206,59156.0
14207,43359.0
14208,54532.0
14209,76699.0
14210,56961.0
14211,38358.0
14212,43085.0
14213,66437.0
14214,92894.0
14215,53197.0
14216,96993.0
14217,95959.0
14218,62347.0
14219,90656.0
14220,81793.0
14221,135398.0
14222,147986.0
14223,95922.0
14224,104649.0
14225,79441.0
14226,117654.0
14227,97460.0
14228,102137.0
14260,
14261,
14301,58158.0
14302,
14303,42500.0
14304,78786.0
14305,67338.0
14411,77618.0
14413,
14414,97917.0
14415,81964.0
14416,98750.0
14418,75469.0
14420,99455.0
14422,90263.0
14423,116250.0
14424,105633.0
14425,100132.0
14427,89018.0
14428,109203.0
14432,89694.0
14433,79423.0
14435,84492.0
14437,84867.0
14441,72500.0
14445,76320.0
14450,129429.0
14453,
14454,106090.0
14456,90700.0
14462,86071.0
14463,93750.0
14464,98162.0
14466,89850.0
14467,109333.0
14468,110208.0
14469,97663.0
14470,84538.0
14471,80192.0
14472,150449.0
14475,121458.0
14476,99769.0
14477,97188.0
14478,148295.0
14479,
14480,81052.0
14481,78419.0
14482,84599.0
14485,96071.0
14486,90208.0
14487,107688.0
14489,84870.0
14502,118247.0
14504,83056.0
14505,122875.0
14506,173846.0
14507,101071.0
14510,73750.0
14511,54661.0
14512,80298.0
14513,76948.0
14514,114858.0
14515,
14516,88839.0
14517,82240.0
14519,100901.0
14521,89886.0
14522,97425.0
14525,104500.0
14526,136903.0
14527,84375.0
14529,71750.0
14530,78574.0
14532,94511.0
14533,83382.0
14534,168841.0
14536,78000.0
14537,116818.0
14539,
14541,72386.0
14542,
14543,147676.0
14544,68333.0
14545,80417.0
14546,109555.0
14548,95104.0
14549,
14550,74194.0
14551,74647.0
14555,68672.0
14556,
14557,
14559,116121.0
14560,87024.0
14561,90278.0
14564,140446.0
14568,112731.0
14569,78534.0
14571,95469.0
14572,88422.0
14580,123959.0
14585,65625.0
14586,142420.0
14588,
14589,104210.0
14590,71981.0
14591,76406.0
14592,72344.0
14604,123295.0
14605,34051.0
14606,71412.0
14607,86335.0
14608,46853.0
14609,76051.0
14610,148417.0
14611,37676.0
14612,101453.0
14613,40873.0
14614,143750.0
14615,68768.0
14616,75959.0
14617,113375.0
14618,152511.0
14619,77793.0
14620,97142.0
14621,44339.0
14622,93921.0
14623,79198.0
14624,99682.0
14625,146024.0
14626,102605.0
14627,
14642,
14701,70257.0
14706,104449.0
14707,63750.0
14708,76591.0
14709,71250.0
14710,78885.0
14711,85568.0
14712,104286.0
14714,113047.0
14715,56000.0
14716,55938.0
14717,76607.0
14718,75500.0
14719,71765.0
14720,71541.0
14721,
14722,250000.0
14723,69545.0
14724,89219.0
14726,68182.0
14727,79954.0
14728,110893.0
14729,95875.0
14731,88750.0
14732,
14733,71010.0
14735,81250.0
14736,92083.0
14737,71250.0
14738,80094.0
14739,58807.0
14740,77125.0
14741,87667.0
14742,
14743,68529.0
14744,95296.0
14747,74500.0
14748,80046.0
14750,96495.0
14752,
14753,68438.0
14754,87750.0
14755,80833.0
14756,
14757,84091.0
14760,74662.0
14767,63158.0
14769,80833.0
14770,69615.0
14772,94571.0
14774,
14775,56328.0
14777,63977.0
14778,
14779,53271.0
14781,82250.0
14782,85313.0
14783,147500.0
14784,96364.0
14785,
14787,86066.0
14788,
14801,72339.0
14802,104844.0
14803,63750.0
14804,95556.0
14805,56250.0
14806,82109.0
14807,84183.0
14808,58333.0
14809,70250.0
14810,71914.0
14812,82250.0
14813,82188.0
14814,105588.0
14815,106250.0
14816,85114.0
14817,108254.0
14818,99288.0
14819,70938.0
14820,75729.0
14821,88015.0
14822,69583.0
14823,86125.0
14824,68333.0
14825,71250.0
14826,76125.0
14827,
14830,111150.0
14836,78125.0
14837,77339.0
14838,81429.0
14839,98000.0
14840,108846.0
14841,85057.0
14842,76833.0
14843,72470.0
14845,93061.0
14846,98750.0
14847,94659.0
14850,129851.0
14853,
14854,
14855,79531.0
14856,
14858,86339.0
14859,91250.0
14860,76250.0
14861,69073.0
14864,95500.0
14865,73438.0
14867,89130.0
14869,82300.0
14870,115820.0
14871,98684.0
14872,73676.0
14873,64911.0
14874,101250.0
14877,61250.0
14878,108750.0
14879,73095.0
14880,87321.0
14881,85156.0
14882,108906.0
14883,72222.0
14884,62188.0
14885,72386.0
14886,97821.0
14889,78333.0
14891,76087.0
14892,73625.0
14893,
14894,62431.0
14895,80142.0
14897,66111.0
14898,59315.0
14901,47849.0
14903,80398.0
14904,74594.0
14905,94959.0
